open,high,low,close,date
419.365,419.365,419.29,419.325,2021-06-01 13:41:00
419.325,419.415,419.315,419.345,2021-06-01 13:42:00
419.345,419.345,419.265,419.275,2021-06-01 13:43:00
419.275,419.335,419.245,419.305,2021-06-01 13:44:00
419.305,419.425,419.305,419.355,2021-06-01 13:45:00
419.355,419.425,419.245,419.245,2021-06-01 13:46:00
419.245,419.365,419.245,419.335,2021-06-01 13:47:00
419.335,419.355,419.305,419.355,2021-06-01 13:48:00
419.355,419.435,419.325,419.335,2021-06-01 13:49:00
419.335,419.455,419.335,419.455,2021-06-01 13:50:00
419.455,419.455,419.365,419.365,2021-06-01 13:51:00
419.365,419.395,419.325,419.355,2021-06-01 13:52:00
419.355,419.395,419.335,419.395,2021-06-01 13:53:00
419.395,419.405,419.315,419.365,2021-06-01 13:54:00
419.365,419.495,419.345,419.495,2021-06-01 13:55:00
419.495,419.595,419.475,419.565,2021-06-01 13:56:00
419.565,419.595,419.515,419.575,2021-06-01 13:57:00
419.575,419.645,419.565,419.605,2021-06-01 13:58:00
419.605,419.625,419.575,419.605,2021-06-01 13:59:00
419.605,419.615,419.465,419.595,2021-06-01 14:00:00
419.595,419.695,419.545,419.67,2021-06-01 14:01:00
419.67,419.745,419.655,419.655,2021-06-01 14:02:00
419.655,419.695,419.635,419.685,2021-06-01 14:03:00
419.685,419.775,419.675,419.755,2021-06-01 14:04:00
419.755,419.785,419.695,419.745,2021-06-01 14:05:00
419.745,419.805,419.745,419.805,2021-06-01 14:06:00
419.805,419.85,419.745,419.765,2021-06-01 14:07:00
419.765,419.765,419.655,419.685,2021-06-01 14:08:00
419.685,419.725,419.645,419.645,2021-06-01 14:09:00
419.645,419.675,419.615,419.665,2021-06-01 14:10:00
419.665,419.725,419.655,419.655,2021-06-01 14:11:00
419.655,419.725,419.635,419.705,2021-06-01 14:12:00
419.705,419.725,419.665,419.715,2021-06-01 14:13:00
419.715,419.735,419.645,419.675,2021-06-01 14:14:00
419.675,419.765,419.675,419.695,2021-06-01 14:15:00
419.695,419.755,419.655,419.665,2021-06-01 14:16:00
419.665,419.735,419.655,419.715,2021-06-01 14:17:00
419.715,419.765,419.695,419.745,2021-06-01 14:18:00
419.745,419.815,419.745,419.805,2021-06-01 14:19:00
419.805,419.915,419.755,419.885,2021-06-01 14:20:00
419.885,419.925,419.865,419.915,2021-06-01 14:21:00
419.915,419.995,419.905,419.985,2021-06-01 14:22:00
419.985,419.995,419.925,419.965,2021-06-01 14:23:00
419.965,419.995,419.945,419.995,2021-06-01 14:24:00
419.995,420.005,419.955,419.995,2021-06-01 14:25:00
419.995,420.025,419.955,419.965,2021-06-01 14:26:00
419.965,420.015,419.955,419.985,2021-06-01 14:27:00
419.985,420.025,419.975,420.015,2021-06-01 14:28:00
420.015,420.045,420.015,420.035,2021-06-01 14:29:00
